Organisation,Date,Meeting,RawName,CleanName,VideoLink,CouncillorOrg
Hastings District Council,11/06/2019,Commissioner Hearing,,,,
Hastings District Council,11/06/2019,Commissioner Hearing,,,,
Hastings District Council,11/06/2019,Commissioner Hearing,,,,
Hastings District Council,04/06/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Barber,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Dixon,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Harvey,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Heaps,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Kerr,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lawson,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lyons,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Nixon,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",O’Keefe,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Poulain,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Redstone,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Schollum,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Travers,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Watkins,,HDC
Hastings District Council,04/06/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",,,
Hastings District Council,31/05/2019,Hearings Committee,,,,
Hastings District Council,30/05/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Barber,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Dixon,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Harvey,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Heaps,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Kerr,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lawson,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lyons,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Nixon,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",O’Keefe,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Poulain,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Redstone,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Schollum,,HDC
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Travers,,HDC
